ï»¿Contact_Name,Contact_Email,Contact_Affiliation,Metadata_Provider_Name,Location_ID,Location_Name,Location_Alias,Location_Activity,Location_Category,Measurement_Categories,Years_Data_Collected,Research_Theme,Description,Geographic_Region,Parent_Location_ID,Latitude,Longitude,Lat_Long_Measurement_Method,Topographical_Elevation,Topo_Elev_Measurement_Method,Depth_Profile_Elevations,Instrumentation,Variables_Measured,Related_Reference,Location_Metadata_Version
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T3-0m,"Meander Z, Banfield Transect 3: 0m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889697,-106.907379,Trimble GPS,2723.64,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T3-33m,"Meander Z, Banfield Transect 3: 33m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889598,-106.907738,Trimble GPS,2723.72,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T3-66m,"Meander Z, Banfield Transect 3: 66m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889498,-106.908109,Trimble GPS,2723.6,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T3-99m,"Meander Z, Banfield Transect 3: 99m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889403,-106.908462,Trimble GPS,2723.56,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T4-0m,"Meander Z, Banfield Transect 4: 0m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889554,-106.907308,Trimble GPS,2723.53,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T4-23m,"Meander Z, Banfield Transect 4: 23m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889501,-106.907567,Trimble GPS,2723.59,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T4-46m,"Meander Z, Banfield Transect 4: 46m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889456,-106.907827,Trimble GPS,2723.56,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T4-69m,"Meander Z, Banfield Transect 4: 69m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889399,-106.908082,Trimble GPS,2723.61,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T5-0m,"Meander Z, Banfield Transect 5: 0m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889671,-106.908582,Trimble GPS,2723.91,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T5-17m,"Meander Z, Banfield Transect 5:17m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889560,-106.908460,Trimble GPS,2723.74,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T5-34m,"Meander Z, Banfield Transect 5: 34m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889440,-106.908335,Trimble GPS,2723.5,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T5-51m,"Meander Z, Banfield Transect 5: 51m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889323,-106.908208,Trimble GPS,2723.6,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T6-0m,"Meander Z, Banfield Transect 6: 0m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889761,-106.908345,Trimble GPS,2723.93,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T6-20m,"Meander Z, Banfield Transect 6: 20m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889624,-106.908196,Trimble GPS,2723.71,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T6-40m,"Meander Z, Banfield Transect 6: 40m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889488,-106.908044,Trimble GPS,2723.6,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T6-60m,"Meander Z, Banfield Transect 6: 60m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889351,-106.907895,Trimble GPS,2723.56,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T7-0m,"Meander Z, Banfield Transect 7: 0m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889783,-106.908046,Trimble GPS,2723.47,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T7-18m,"Meander Z, Banfield Transect 7: 18m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889645,-106.907910,Trimble GPS,2723.69,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T7-36m,"Meander Z, Banfield Transect 7: 36m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889534,-106.907773,Trimble GPS,2723.64,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T7-54m,"Meander Z, Banfield Transect 7: 54m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889412,-106.907637,Trimble GPS,2723.63,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T8-0m,"Meander Z, Banfield Transect 8: 0m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889862,-106.907835,Trimble GPS,2723.55,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T8-20m,"Meander Z, Banfield Transect 8: 20m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889726,-106.907681,Trimble GPS,2723.81,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T8-40m,"Meander Z, Banfield Transect 8: 40m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889587,-106.907529,Trimble GPS,2723.78,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Jill Banfield,jbanfield@berkeley.edu,UC Berkeley,Paula Matheus Carnevali,ERMZ-T8-60m,"Meander Z, Banfield Transect 8: 60m",N/A,Metagenomics Sample Point,SFA One-off Sampling,Biogeochemistry,Sep 2015,Metagenomics of the East River riparian zone,"Genome-resolved metagenomics and geochemical analyses of a soil interval (~10-25 cm) from floodplains associated to three meandering reaches of the East River: upstream (ERMG), midstream (ERML), and downstream (ERMZ).",PH,MZ,38.889447,-106.907381,Trimble GPS,2723.56,LIDAR,N/A,N/A,Genome-resolved metagenomics,N/A,1.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,001-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957229,-106.986100,RTK,2908.88,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,002-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957288,-106.986100,RTK,2908.88,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,003-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957368,-106.986160,RTK,2908.38,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,004-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957477,-106.986110,RTK,2908.43,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,005-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957461,-106.986230,RTK,2907.91,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,006-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957868,-106.984830,RTK,2915.43,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,007-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957824,-106.984750,RTK,2916.53,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,008-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957823,-106.984830,RTK,2915.88,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,009-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,RM,RM,38.957937,-106.984500,RTK,2918.16,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,010-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921891,-106.951890,RTK,2767.98,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,011-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921874,-106.952110,RTK,2769.54,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,012-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921828,-106.952200,RTK,2771.03,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,013-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921662,-106.952410,RTK,2775.28,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,014-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921775,-106.952650,RTK,2777.12,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,015-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921582,-106.952620,RTK,2779.8,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,016-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921584,-106.952760,RTK,2782.47,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,017-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921531,-106.952670,RTK,2781.63,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,018-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921552,-106.953020,RTK,2790.71,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,019-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,PH,PH,38.921520,-106.952820,RTK,2785.83,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,020-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,MtC,MtC,38.991241,-107.065850,RTK,3455.53,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,021-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,RM,RM,38.956910,-106.987490,RTK,2891.08,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,022-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,RM,RM,38.956973,-106.987410,RTK,2891.56,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,023-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,RM,RM,38.957091,-106.986840,RTK,2901.96,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,024-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,RM,RM,38.957034,-106.986720,RTK,2902.78,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,025-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,RM,RM,38.956726,-106.986290,RTK,2909.32,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,026-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,RM,RM,38.956511,-106.986460,RTK,2910.78,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,027-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,RM,RM,38.956822,-106.986190,RTK,2908.25,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,028-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,RM,RM,38.956765,-106.986110,RTK,2909.78,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
